text,label
40% to 50% REDUCTION IN TUTION FEES,[]
BCIT STUDENT’S REFUND DUE THE COVID-19,[]
Appeal for Urgent Action on the Attacks Against the CPA and its Leaders,[]
#saveProjectSPELL,[]
Abolish quarantine rule to enter Sarawak #malaysiaformalaysians,['lockdowns']
SUPPORT CARE HOMES DURING COVID-19 & AFTER,[]
Exclude kids from the ‘rule of 6’ law in England.,['masking_and_distancing']
#NUStopOnlineClassesNow #WalangIwananNationalian,['lockdowns']
Hazard Pay for Lassens employees during COVID-19 Outbreak,[]
Tell Emory University to stop torturing nonhuman primates!,[]
Let foreign doctors help us fight COVID-19!,[]
Allow Parents the option to keep children off school during covid 19 crisis,['lockdowns']
CANCEL ICSE BOARD EXAMS 2021 DUE TO COVID-19,['lockdowns']
MAKAUT need to close WB colleges due to effect of COVID-19.,['lockdowns']
UNISA STUDENTS DEMANDING THE REMOVAL OF THE LAST MINUTE IMPLEMENTATION OF THE IRIS SYSTEM!,[]
"Change Diet, Save Lives",[]
Urgent Government Support For The Hospitality Industry,[]
"支持將「中華航空」正名為「台灣航空」Call for Petition of Rectifying “China Airlines” with “Taiwan Airlines""",[]
Hazard Compensation For Covid-19 Pandemic,[]
Urgent Strict Measures to Counter Coronavirus Spread and Increase Public Education,[]
Google: Include the entire Caribbean in YouTube's Partner Program,[]
Testing for COVID 19 in NHS medical professionals showing signs and symptoms,[]
Close the CUNY Hunter College campus due the spread of COVID-19,['lockdowns']
Allow Visitors for MA Patients During Covid-19,[]
S​.​E​.​N Schools to shut in the UK amid Covid 19 outbreak,['lockdowns']
"For Immediate Resignations: Michael Rembis, Debbie Walsh, Gary Kienbaum and Lisa Paulson.",[]
Start Community Testing: COVID-19 NEPAL,[]
Make sure all staff in hospital have face masks,['masking_and_distancing']
Grant Diploma Privilege for 2020 Texas Law School Graduates,[]
Mental Health Stability Amongst Student Body,[]
PROTECT INCARCERATED COMMUNITIES FROM COVID-19,['masking_and_distancing']
Keep COVID-19 Arrestees Out of Waiʻanae,[]
HAZARD PAY FOR TRANSIT WORKERS,[]
An Immediate Decrease in UArts Tuition for 2020-2021,[]
Implement COVID-19 Precautionary Measures,[]
Close the PA border to people who live out of state.,['lockdowns']
#JusticeforShoni: fix Thembisa Hospital and save lives,[]
Immediate Aid Package for San Francisco SMBs (Small and Medium Businesses),[]
"Under attack at NYU, Mark Crispin Miller needs your support for academic freedom",[]
Allow PAYE freelancers to receive the UK government's COVID-19 self employed grant,[]
AN ACCESSIBLE WASHROOM for DISABLED FANS--Toronto Maple Leafs and Raptors,[]
Release community custody inmates with 6 months or less on supervision due to COVID-19,[]
Support UNPAID Student Nurses helping to fight Covid-19 Pandemic,[]
Refund UIC Students for Tuition Costs,[]
Close Pratt Institute-Main Campus due to COVID-19 Death in NYC,['lockdowns']
Kitas & Schulen verlässlich öffnen: Bundesweite Bildungs- & Betreuungsgarantie 2021,[]
Exception for Drive-In Movie Theatres during Covid-19 restrictions.,['lockdowns']
Il vaccino antinfluenzale ha aumentato i rischi da COVID-19?,[]
Save Rose of Sharon Korean LTC from for-profit Rykka,[]
CAIE should allow Students of Pakistan for Teacher Assessemnt like UK for O/A Level 2021,[]
Lower University of New Mexico Fall 2020 Tuition,[]
Demanding a Student-Centered Response from SUA to the COVID-19 Epidemic,[]
Citizens should be allowed to leave Australia without requiring permission.,[]
Grant of RESIDENCE AMNESTY FOR ALL MIGRANT WORKERS CURRENTLY IN NZ.,[]
Private daycare/schools to credit/refund parents for service not rendered due to covid-19,[]
Separate Muskoka From Simcoe For Covid Response Regions,[]
Minimum 3​.​1% Pay Rise to NHS workers.,[]
Equal Government Support for Newly Self Employed - Covid 19,[]
Allow a nominated family member to enter care homes during a lockdown the same as staff do,['lockdowns']
Retain contract pharmacists in Ministry of Health (MOH)!,[]
Bengaluru Green Cover reduced from 70% to 3%.   SAVE Bengaluru's TREES!   STOP ECOCIDE!,[]
"Dear PIAA, Please Do Not Terminate Our Sports Seasons!",[]
Expand Unemployment Insurance Eligibility for Education Support Professionals,[]
To include Traditional and Complementary Medicine (T&CM) as essential service,[]
Reduce the cost of paying for online education in Cyprus (during the COVID-19 quarantine),[]
WIRED not Wireless; NO HOTSPOTS or Antennas added to CA Schools during COVID-19,[]
"Governor Greg Abbott: Suspend Rent, Mortgage, & Utility Payments During Covid-19 crisis",[]
Open Rhode Island & End All Executive Orders May 9th.,[]
Postpone Oklahoma State University Spring 2020 Commencement,['lockdowns']
"Save Our Studios.
Reclassify dance studios in the California Covid re-opening strategy.",[]
RRISD Students Request Covid Safe Traditional Graduation Ceremony,[]
Suspend rent and mortgage payments during Covid 19 pandemic South Africa,[]
Locals Only Recreation Initiative for Placer and Nevada Counties,[]
Directors to be equally helped Just as self employed have been.,[]
Allow Nursing Students to graduate despite clinical hours,[]
Pass the bill to prohibit child marriage in the Philippines. #ENDChildMarriage,[]
Petition for MIT Administration to Take Action against On-Campus Spread of COVID-19,[]
Change the inhuman Care Home Covid visiting restrictions,['lockdowns']
Support Cheerleaders and Dance in 2021,[]
Financial compensation(hazard pay) for essential workers during covid-19,[]
Save Gymnastics Clubs in Ontario!,[]
#cancelboardexams,[]
Ask Gov. DeSantis to Stop the unfair treatment of Vacation Rentals!,[]
Place a moratorium on 1080 poisoned food drops & divert funds to save lives from COVID-19,[]
American Airlines Should Waive ALL  Change/Cancellation Fees Amidst COVID-19 Outbreak!,[]
To Stop COVID-19: Contact Trace and Test!,[]
HELP IRANIANS TO RECEIVE MEDICAL SUPPLIES TO FIGHT COVID-19,['vaccination']
Get Covid-19 Vaccines for Doctors,['vaccination']
Allow F-1 and M-1 students with valid visas to stay in the United States,[]
"Northern and southern European countries solidarity, opinions of non-political citizens",[]
Cancel 2021 CBSE Board exams due to COVID-19,['lockdowns']
Canadian Federal Government: Give More Support to Canadian Airlines and their Employees,[]
Universal living wage for all ad-hoc agency workers during the covid-19 crisis,[]
Brainware University need to close College due to effect of COVID-19.,['lockdowns']
Whittier Council Member Jessica Martinez: Recuse Yourself from Immigrant Relief Lawsuit,[]
Allow parents to temporarily home educate without being penalised during Covid-19 outbreak,[]
There will be a day AFTER COVID-19.  Help us change the way leaders lead.  Everywhere.,[]
Close Madison City Schools due to COVID-19,['lockdowns']
Mthuli Ncube to remove 2% charge from all electronic money transactions #Covid-19 period,[]
Partially Refund Loughborough University Tuition Fees,[]
Proper equipments and facilities for Arunachal Pradesh to tackle Covid-19,[]
Humber College should reduce tuition fees for classes recently made online due to COVID-19,['lockdowns']
South Dakota State University pass or fail students -COVID-19,[]
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,['lockdowns']
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,[]
Rescind the Acceptance of racist Drew Dollar into LSU,[]
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,['lockdowns']
We Texans demand that Ted Cruz resign.,[]
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,[]
COVID-19 Landlord Support,[]
Cancellation of STPM Semester 2 examination 2020,[]
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,[]
Close non essential warehouses Covid-19,['lockdowns']
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,['lockdowns']
ASHA dues should be WAIVED for 2020!,[]
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,[]
Hazard pay for essential employees working with the public during the covid-19 pandemic.,[]
Stop children being weighed in school without parental consent,[]
Allow Visitors for Covid-19 Patients,[]
Exigimos acciones de control y salud en la Reserva Natural de La Parguera,[]
Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,['vaccination']
Compensate Essential Workers,[]
Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,[]
Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,[]
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,['lockdowns']
School safety.,['lockdowns']
NCAA Covid-19 Eligibility Relief,[]
RI State schools to STOP charging campus fees when classes are online.,[]
Let these military pets come home!,[]
Texas State: Cancel all online class fees.,['lockdowns']
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,[]
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,['lockdowns']
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,[]
COVID-19 Response to Support Families with Disabled Children,[]
Save Roma St Parklands,[]
Guarantee UEA Final Year Students A Graduation Ceremony,[]
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),['masking_and_distancing']
End Brookings City Council COVID Policies,['lockdowns']
Make Google Education Services available for Iran,[]
Queens Park Allotment Covid-19,[]
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,['lockdowns']
Life-saving measures to protect Louisiana Prisoners from COVID-19,['masking_and_distancing']
Require Face Masks in Idaho Shared Public Spaces,['masking_and_distancing']
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,['lockdowns']
Allow International Students to stay in the U​.​S. even with institutions going online,['lockdowns']
Close schools over coronovirus,['lockdowns']
Tax relief for key worker during Covid-19 crisis,[]
Grant all illegal migrants leave to remain in Ireland.,[]
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,['lockdowns']
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,[]
Break due to the Pandemic,['lockdowns']
Don’t forget Ltd company business owners during COVID-19,[]
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,['lockdowns']
EUA Approval From FDA For Rapid COVID-19 Tests,['vaccination']
STOP oil drilling in The Bahamas,[]
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,['lockdowns']
LockdownPakistan- economic losses now or disastrous economic and human losses later?,[]
Protect pregnant healthcare workers in the UK from COVID-19,[]
Save Altitude Trampoline Park in Spokane Valley,['lockdowns']
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,[]
Heritage Golf & Country Club - don’t kill beloved local kangas!,['lockdowns']
Covid-19 shouldn't stop academic Justice,['lockdowns']
Tell Jim Justice to lock down West Virginia,['lockdowns']
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,[]
Bring back some flight services to Queenstown,['lockdowns']
Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,[]
CANCELLATION OF DU EXAMINATIONS,['lockdowns']
"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",[]
Open Smaller Gyms in Ontario,['lockdowns']
Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,[]
Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,[]
Faith in our ADOM Schools,[]
CoronaVirus - Coventry University deadline extension,['lockdowns']
To get the Summit Athlete Gift-Bags,[]
"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",['masking_and_distancing']
University of San Diego changes courses to online due to the spread of COVID-19,['lockdowns']
Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,[]
Stop companies Profiteering from £120 Private Covid-19 Testing!,[]
Suspend Mortgage & Rent Payments in Maryland During COVID-19,['lockdowns']
Yoga Studios Are Not Gyms,['lockdowns']
"Save the dagwood dog guy,",[]
Stop all animal transports during covid-19,['lockdowns']
"ОСТАНОВИТЬ РЕПРЕССИИ, ОСВОБОДИТЬ ПОЛИТЗАКЛЮЧЕННЫХ И  ЗАДЕРЖАННЫХ ПО ПОЛИТИЧЕСКИМ МОТИВАМ",[]
Ensuring the safety and Respect of healthcare professionals in current pandemic scenario,[]
Indiana for the Safe Return to Schools,['lockdowns']
Close Chipotle during COVID-19,['lockdowns']
Keep children out of school during the COVID-19 crisis,['lockdowns']
Save the fitness Industry from the economic effect of Covid 19,['lockdowns']
Petition to Reopen NYS Gymnastics Clubs,['lockdowns']
Implement a No Detriment Policy for University of the West of England,['lockdowns']
"Suspend rent, mortgage and utilities bill of Texas",[]
Ontario MRTs/DMSs united to get the respect/recognition we deserve. COVID-19 Pandemic Pay,[]
#CancelofflineexamsinKA,['lockdowns']
Spotlight on NJ Unemployment Lag during Covid-19 Shutdown!,['lockdowns']
SAVE THE CUNY STUDENTS,['lockdowns']
Urging the CSWE to reconsider field practice hour waiver due to the government shutdowns,['lockdowns']
McConnell and Schumer: Make it Monthly Stimulus Checks & Support the #PeoplesStimulus,[]
NSFAS should provide students with Laptops to study during this pandemic of COVID 19,['lockdowns']
Declare Digital Learning plan for Education deprived school children of Rural Maharashtra,[]
No to abandonment,[]
NJ edTPA COVID-19: WAIVE edTPA for Fall 2020 Graduates,[]
National Poetry Library SOS #NPLSOS,[]
Make Ryerson courses pass/fail,[]
Petition for PDPU to take prevention against COVID 19,[]
GOVERNMENTS TO BAN ALL WET MARKETS-STOP ANOTHER COVID 19 OUTBREAK,['lockdowns']
"Gov. Kemp, Save Lives, Let Our Cities Mask!",['masking_and_distancing']
No Colleges until Zero Covid Case in the State or until Vaccines are out,"['lockdowns', 'vaccination']"
Stop Sussex from Sacking their Staff! Covid-19,[]
PROTECT  OREGON  INMATES  FROM  CORONAVIRUS (COVID19),[]
Contra o FIM da Saúde Pública Federal no Rio de Janeiro,[]
A year tax free after the pandemic for all key workers who had to work through covid 19,[]
KEEP GYMS OPEN IN CT,['lockdowns']
President Rule in Bihar,[]
Make Covid19 tests available to care staff working with vulnerable elderly people in care,[]
Open Outdoor Youth Sports Activities in Massachusetts,['lockdowns']
Travel Ban on US & Europe,['lockdowns']
Make all UWL (online next because of Covid-19) classes pass or fail for this semester,['lockdowns']
Ask Concordia University to Suspend All In-Person Instruction,['lockdowns']
Major retail chains should provide free home delivery to those most at risk from Covid-19.,['masking_and_distancing']
"Continue to Subsidize Child Care, in Texas, during the Covid 19 pandemic",[]
Advice the government of Botswana to temporarily close down schools amid covid 19 outbreak,['lockdowns']
COVID BCG Vaccine must start in countries with highest cases of infections NOT in Africa.,['vaccination']
Governor Jay Inslee to forgive Rent/Mortgage in Washington State for 90 days,[]
ATTN Governor Baker- Open Mass Training studios and Personal Training Safely ASAP,['masking_and_distancing']
Pace University Petition - COVID-19 Pandemic,[]
Pay NYC substitute para professionals during COVID-19 School Closures,['lockdowns']
A plea to the Universities during the time of this Pandemic,['lockdowns']
CARTA PELOS POBRES!,[]
NO NASHVILLE GOP CONVENTION,['lockdowns']
Support BGU Students during Covid-19,[]
HELP NS Veterinary Clinics Stay Open‼️,['lockdowns']
SNP MP Margaret Ferrier resign after travelling to London with a positive COVID test,['masking_and_distancing']
Start drive-through community-based COVID-19 assessment centres provided by our Labs!,['masking_and_distancing']
Promotion Of AKTU College Students to Next Semester Without Exam.,['lockdowns']
"Guarantee PPE availability for healthcare workers, both in government and private sector",['masking_and_distancing']
University of Guelph COVID-19 - Move Classes Online,['lockdowns']
Get Finals Moved to Online Due to Corona Virus (COVID-19),['lockdowns']
“Freeze Rent and Mortgages during Covid-19”,['lockdowns']
UVM COVID 19 Protocol,[]
Compensate Fees after Closure of Universities due to Covid-19 Pandemic,['lockdowns']
No MAGA Mural in Petaluma!,[]
"Petition to Freeze Rent, Mortgage, & Utility Bills During Covid-19 Pandemic",['lockdowns']
Utah: Require Insurers to Pay COVID-19 Business Interruption Claims for Restaurants,[]
Halt all catalogs sent through USPS for the 3 weeks leading up to the election,['lockdowns']
Shut down TORONTO COVID-19,['lockdowns']
"Partial tuition refund for students at Greengates, due to online classes.",['lockdowns']
Fund & Restore the SBA EIDL to help small businesses and gig workers affected by COVID-19.,[]
No Karnataka CET in July,['lockdowns']
PETITION FOR ACADEMIC EASE,[]
Demand Adequate Pay for Actra Toronto Members Completing Required COVID Testing,[]
Protest against petroleum fuel price hike in India,[]
Objection to Notice dt-12th Feb 2021 issued by Panvel Municipality for Property tax,[]
Allow cancer patients to access treatment and clinical trials - please do not donate,[]
Cancel Deanza Classes Amid Coronavirus Outbreak (COVID-19),['lockdowns']
Reopen pools now,['lockdowns']
Cancel B Tech Exams for intermediate semesters -KTU,['lockdowns']
LET US PLAY,[]
Stop the deportation of Australian mothers and their children into abusive situations,[]
AMEND the Law Indicating 3% Philhealth Premiums for Physicians and 0​.​5% Yearly Increase,[]
Re-enact mandatory indoor masking as a basic public health measure.,['masking_and_distancing']
Reschedule Class of 2020 Events!,['lockdowns']
Pass/Fail Grading Option at the University of South Carolina for this Semester,['lockdowns']
Addison Davis must RESIGN Immediately,[]
Haramkan penggunaan dan penjualan rokok elektronik dan vape di Malaysia,[]
Pelo Lockdown em TODAS cidades com +150​.​000 habitantes,['lockdowns']
Clemency for Bryon Russ,[]
"Moderna, Pfizer, and CureVac: Ensure we can end the Pandemic. Help others produce Vaccine",['vaccination']
Stop travel to rural holiday destinations in UK during Covid-19,['lockdowns']
Cerrar canal de SOY DAVID SHOW por violar cuarentena COVID-19,[]
"Build bike lanes on Bloor, Danforth & Yonge now",[]
REISEWARNUNG AUFHEBEN! - Mallorca is NO RISK zone.,[]
ALL EXAMS / TESTS TO BE ONLINE,['lockdowns']
"Cherokee Co. Sheriff Spokesperson, Capt. Jay Baker Must Go!",[]
The German government should cancel rents for international students till CoVid19 is over.,[]
Petition for Online Teaching in LSE under COVID-19 Threat,['lockdowns']
